"area_code","item_code","Area","Item","share","category"
450,2613,"Madagascar","Grapefruit and products",0.000138610075518593,"vegetal_products"
174,2642,"Comoros","Cloves",0.000516230022106302,"vegetal_products"
156,2602,"China, mainland","Onions",0.00486699617546179,"vegetal_products"
340,2611,"Honduras","Oranges, Mandarines",0.00326556000466509,"vegetal_products"
504,2612,"Morocco","Lemons, Limes and products",5.2048411145708e-05,"vegetal_products"
214,2615,"Dominican Republic","Bananas",0.0335395055744062,"vegetal_products"
308,2619,"Grenada","Dates",2.08276924999479e-05,"vegetal_products"
710,2611,"South Africa","Oranges, Mandarines",0.00121864775492959,"vegetal_products"
364,2614,"Iran (Islamic Republic of)","Citrus, Other",0.00182542895835369,"vegetal_products"
860,2619,"Uzbekistan","Dates",1.02164873673134e-05,"vegetal_products"
598,2618,"Papua New Guinea","Pineapples and products",0.000874749222709251,"vegetal_products"
756,2614,"Switzerland","Citrus, Other",7.81218353423183e-05,"vegetal_products"
203,2616,"Czechia","Plantains",0.000100558250652105,"vegetal_products"
643,2613,"Russian Federation","Grapefruit and products",0.000236220707884688,"vegetal_products"
250,2613,"France","Grapefruit and products",0.000933605205278592,"vegetal_products"
152,2616,"Chile","Plantains",0,"vegetal_products"
748,2618,"Eswatini","Pineapples and products",0.00402538514343353,"vegetal_products"
192,2733,"Cuba","Pigmeat",0.0382087769682306,"meat"
360,2601,"Indonesia","Tomatoes and products",0.00075154815084645,"vegetal_products"
716,2612,"Zimbabwe","Lemons, Limes and products",0.000409191938918803,"vegetal_products"
208,2614,"Denmark","Citrus, Other",0.000845922482739764,"vegetal_products"
678,2640,"Sao Tome and Principe","Pepper",6.0240704644128e-05,"vegetal_products"
246,2617,"Finland","Apples and products",0.00622145422076045,"vegetal_products"
600,2617,"Paraguay","Apples and products",0.000481552943166991,"vegetal_products"
388,2615,"Jamaica","Bananas",0.0122091084639315,"vegetal_products"
132,2625,"Cabo Verde","Fruits, other",0.00478756629460215,"vegetal_products"
